iter	RMSE
0	2.923366318
1	2.726057177
2	2.545173096
3	2.376332127
4	2.217108707
5	2.070991427
6	1.937193498
7	1.813841114
8	1.70039797
9	1.594428901
10	1.49855021
11	1.408675262
12	1.327031433
13	1.251659389
14	1.180976675
15	1.11583647
16	1.055674853
17	1.001057938
18	0.9515976111
19	0.9069786497
20	0.8663906981
21	0.8274123833
22	0.7930451052
23	0.7613710585
24	0.7333760115
25	0.7081116301
26	0.6867640048
27	0.6646392566
28	0.644880547
29	0.6266933778
30	0.6118087441
31	0.5959501417
32	0.5826730497
33	0.5700034887
34	0.5557015632
35	0.5441131714
36	0.5326588683
37	0.5215967623
38	0.5110019958
39	0.5005003156
40	0.4937388232
41	0.4861726971
42	0.4795554624
43	0.4740097522
44	0.4697064474
45	0.4652117598
46	0.4603933242
47	0.4557424189
48	0.451845971
49	0.4462710103
50	0.4425582388
51	0.439225808
52	0.4361886497
53	0.4335217173
54	0.4296315539
55	0.426077936
56	0.4219345434
57	0.4195949021
58	0.417370957
59	0.4154256058
60	0.4126283299
61	0.4110022781
62	0.409344172
63	0.4062171393
64	0.4048471721
65	0.4021385351
66	0.4007656944
67	0.3985513814
68	0.3957661681
69	0.3940179206
70	0.3923020134
71	0.3896900528
72	0.3883944263
73	0.386745116
74	0.3842292945
75	0.382711561
76	0.3807597231
77	0.3791873915
78	0.3771501005
79	0.375943192
80	0.3746695251
81	0.3736327891
82	0.3726899549
83	0.3712203295
84	0.370297002
85	0.3688201508
86	0.3674692877
87	0.3662780011
88	0.3645337042
89	0.3636739019
90	0.3624715527
91	0.3617685498
92	0.3607988516
93	0.3601090752
94	0.3590987569
95	0.3578184333
96	0.3569582322
97	0.355518712
98	0.3546168078
99	0.3539176689
100	0.3533608218
101	0.3525456336
102	0.351538913
103	0.3501277207
104	0.3490894905
105	0.3482626972
106	0.3473223466
107	0.3461961166
108	0.3451552723
109	0.3445884054
110	0.3438305133
111	0.3430305314
112	0.3421393262
113	0.3411853719
114	0.3407659285
115	0.3401720438
116	0.3393560855
117	0.3387798149
118	0.338259175
119	0.3376850948
120	0.3368355142
121	0.3358949958
122	0.3351569886
123	0.3345871785
124	0.3339970852
125	0.3331377894
126	0.3324060327
127	0.3315154452
